,wind_mph,lat,lon
2184,9.29,34.278679,-119.165615
2185,9.29,34.061735,-118.276757
2189,9.28,33.219935,-117.202606
2191,9.28,34.099912,-118.326912
2193,9.27,32.908915,-116.891975
2195,9.26,33.195534,-117.354538
2196,9.26,33.976582,-118.455222
2197,9.25,34.150818,-118.368159
2198,9.25,32.930554,-117.008063
2202,9.24,33.647763,-117.919761
2203,9.23,34.054534,-118.457025
2204,9.23,33.988047,-118.370361
2206,9.22,34.138761,-118.350933
2207,9.21,34.0712,-118.443523
2208,9.20,33.482811,-117.226126
2209,9.20,34.07041,-118.350411
2210,9.20,33.975332,-118.355252
2211,9.20,32.786772,-117.234207
2212,9.19,34.100517,-118.414712
2213,9.19,33.993396,-118.465193
2214,9.19,34.089848,-118.294661
2215,9.18,34.003638,-118.308806
2217,9.18,33.67901,-118.014603
2218,9.18,33.547613,-117.34404
2222,9.15,34.026608,-118.473643
2223,9.15,32.824572,-117.199518
2224,9.14,34.028887,-118.317183
2225,9.13,33.823943,-118.111335
2226,9.13,33.0824,-117.127641
2227,9.13,33.864259,-118.399303
2228,9.13,34.052876,-118.254943
2229,9.12,34.039378,-118.2663
2230,9.12,34.238786,-119.186492
2231,9.12,34.028331,-118.354338
2232,9.12,34.052913,-118.26434
2235,9.11,34.10781,-118.362247
2236,9.11,33.887821,-118.12725
2237,9.11,33.376467,-117.066121
2238,9.10,32.999818,-117.071808
2239,9.10,34.030755,-118.492101
2240,9.08,34.140822,-118.392864
2241,9.08,34.066379,-118.30987
2242,9.08,34.06221,-118.401966
2243,9.08,34.088475,-118.325527
2244,9.07,32.838798,-116.869956
2245,9.06,34.049841,-118.33846
2246,9.06,32.806476,-117.168879
2247,9.05,34.051809,-118.383674
2248,9.05,33.95889,-118.330548
2249,9.05,34.059163,-118.306892
2250,9.05,34.009552,-118.346724
2251,9.05,34.076198,-118.310722
2252,9.05,33.601984,-117.913001
2253,9.05,34.002028,-118.430656
2254,9.04,34.065723,-118.434969
2255,9.04,37.773793,-122.278115
2262,9.02,34.065975,-118.238642
2264,9.01,34.057597,-118.413998
2286,9.01,33.19784,-117.248203
2287,9.00,34.034666,-118.504039
2288,9.00,34.062148,-118.315889
2293,8.99,33.107582,-117.292182
2294,8.98,34.013666,-118.49375
2295,8.98,33.975414,-118.41699
2296,8.98,34.093828,-118.381697
2297,8.98,34.011312,-118.469762
2298,8.97,33.623208,-117.933903
2299,8.97,34.072924,-118.37271
2300,8.96,34.045421,-118.445873
2301,8.96,33.939766,-118.331085
2302,8.96,34.020221,-118.286035
2303,8.95,34.028129,-118.284829
2307,8.95,34.037251,-118.423573
2308,8.95,33.511228,-117.042396
2309,8.95,33.617844,-117.259304
2310,8.95,33.979248,-118.217438
2311,8.94,34.283668,-119.223196
2312,8.94,34.064958,-118.382979
2313,8.94,33.535277,-117.104791
2314,8.94,33.847989,-118.112601
2315,8.94,34.030578,-118.399613
2316,8.93,33.997862,-118.393617
2319,8.91,34.048041,-118.294177
2320,8.91,34.002844,-118.2164
2321,8.90,33.580016,-117.14736
2322,8.90,34.019323,-118.391902
