Data shown is as of Mar 6, 2022.
                                                                                     Monthly % of normal     Observed monthly                 Average Monthly
                                                                                     precipitation for       total precipitation              total precipitation
                                                                             Elev    Mar 2022
StnID  Station Name                                    State  Lat     Lon    (ft)           (%)                      (in.)                              (in.)
BALC1  BALD MOUNTAIN (SJ COUNTY)                        CA   37.58  121.52   2865            17                       0.07                              0.41
BAMC1  BALD MOUNTAIN (SLO COUNTY)                       CA   35.16  120.28   1500             7                       0.04                              0.61
BASC1  CRANE VALLEY (PGE)                               CA   37.29  119.53   3400            63                       0.68                              1.07
BATC1  BATES RIDGE                                      CA   34.92  119.92   5120             0                       0.00                              0.89
BCHC1  BEACH MEADOWS                                    CA   36.13  118.31   7650           203                       1.09                              0.54
BCSN2  BIG CREEK SUMMIT                                 NV   39.29  117.11   8695           244                       1.05                              0.43
BCYC1  BLUE CANYON (DWR ETI)                            CA   39.28  120.70   5290            22                       0.42                              1.94
BDOC1  BLUE DOOR (BLM)                                  CA   41.05  120.34   5927            27                       0.12                              0.44
BDYC1  BRANDY CREEK                                     CA   40.62  122.57   1300             0                       0.00                              1.75
BENC1  BEN BOLT NR LATROBE CRK                          CA   38.59  120.93    905             1                       0.01                              0.76
BFL    BAKERSFIELD                                      CA   35.43  119.05    497           290                       0.68                              0.23
BHNC1  CHOWCHILLA - BUCHANAN DAM                        CA   37.21  119.97    450            29                       0.14                              0.48
BIH    BISHOP - ASOS                                    CA   37.37  118.36   4108             0                       0.00                              0.10
BIMC1  BIG MEADOWS (DWR)                                CA   36.72  118.84   7603            68                       0.90                              1.32
BKAC1  BROKEN ARROW RANCH                               CA   37.52  121.51   3083            18                       0.09                              0.50
BKLC1  BUCKS LAKE                                       CA   39.85  121.24   5750            15                       0.34                              2.29
BKSC1  BROOKS (CDF)                                     CA   38.74  122.15    355             9                       0.05                              0.57
BLAC1  BLUE LAKES SNOTEL                                CA   38.61  119.92   8104             7                       0.10                              1.46
BLBC1  STONY CK - BLACK BUTTE DAM                       CA   39.81  122.33    426            49                       0.28                              0.57
BLCC1  BLOODS CREEK                                     CA   38.45  120.03   7200            14                       0.19                              1.31
BLCN2  BAILEY CREEK                                     NV   39.36  119.68   5680            14                       0.06                              0.42
BLH    BLYTHE FFA AIRPORT                               CA   33.61  114.71    395            41                       0.04                              0.10
BLSC1  BLACK SPRING                                     CA   38.38  120.19   6500            34                       0.42                              1.24
BLU    BLUE CANYON ASOS                                 CA   39.28  120.71   5276            23                       0.42                              1.82
BMOC1  BALD MOUNTAIN (BUREC)                            CA   37.07  119.40   4720           124                       1.07                              0.86
BNAC1  BARONA                                           CA   33.00  116.84   1280           134                       0.82                              0.61
BNCC1  BURNS CK - BURNS RES                             CA   37.38  120.28    319             7                       0.03                              0.41
BNDC1  BEN LOMOND                                       CA   37.13  122.17   2598            19                       0.28                              1.50
BNGC1  BANGOR (CDF)                                     CA   39.38  121.39    839             5                       0.05                              1.01
BNVC1  BOONVILLE (CDF)                                  CA   38.99  123.35    644            19                       0.25                              1.33
BOGC1  BOGARD RS (USFS)                                 CA   40.60  121.08   5686            23                       0.13                              0.56
BPTC1  EAST WALKER - BRIDGEPORT, NR                     CA   38.26  119.23   6470             0                       0.00                              0.19
BRCC1  BEAR CK - ALPINE RD                              CA   38.07  121.21     59             0                       0.00                              0.51
BRDC1  SALINAS - BRADLEY, NR                            CA   35.93  120.87    443             0                       0.00                              0.38
BRRC1  BRUSH CREEK                                      CA   39.70  121.35   3560            16                       0.33                              2.13
BTPC1  BEAR TRAP MEADOW (COE)                           CA   36.68  118.86   6800            84                       1.13                              1.34
BTRC1  BATTLE RIDGE                                     CA   40.33  121.75   3400            43                       0.48                              1.12
BULC1  BUELLTON MAINT YARD                              CA   34.62  120.19    530             5                       0.03                              0.58
BUNC1  BUNNING RANCH (COE)                              CA   37.37  119.88   1520            32                       0.18                              0.56
BZRC1  BRAZIE RANCH                                     CA   41.68  122.60   3090            63                       0.22                              0.35
CAEC1  CALERO                                           CA   37.17  121.76    550             5                       0.05                              0.92
CAHC1  HASTINGS (CDF)                                   CA   36.39  121.55   1824            66                       0.49                              0.75
CAPN2  CARSON CITY AIRPORT                              NV   39.20  119.73   4710             0                       0.00                              0.20
CAZC1  CARRIZO (BLM)                                    CA   35.10  119.77   2400            15                       0.06                              0.40
CCEC1  COW CREEK                                        CA   40.60  121.85   2840            75                       0.81                              1.08
CCR    CONCORD(ASOS)                                    CA   37.99  122.06     23             9                       0.04                              0.46
CCUN2  CLEAR CREEK UPPER (NV)                           NV   39.09  119.89   7780            28                       0.22                              0.79
